Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 4267,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,233,"Allen, G. K.",2/22/09,,North Atlantic Ocean,,,Canada,Nova Scotia,,,Sable Island,,,,Gloucester Fisheries,Schooner H.M. Perkins,,,,731.00,,,,,,,0,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/3a1fdd359-391b-4eb4-82a6-68a2e9ef63b1
USNM 4559,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,436,"Hamlin, P.",2/22/09,,North Atlantic Ocean,,,Canada,Nova Scotia,,,"Banquereau Bank, South Of",44,-58.5,,,Schooner Andrew Leighton,,,,292.00,,,,,,,0,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3082a0c04-40db-4a07-b51f-05bff898ae48
USNM 4560,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,436,"Hamlin, P.",2/22/09,,North Atlantic Ocean,,,Canada,Nova Scotia,,,"Banquereau Bank, South Of",44,-58.5,,,Schooner Andrew Leighton,,,,292.00,,,,,,,0,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/38bd0b423-e9c8-42e8-8c24-91363df44c3a
USNM 4908,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),763,"Murphy, D. C.",07/07/1880,,North Atlantic Ocean,,,Canada,Nova Scotia,,,"Banquereau Bank, Eastern End",,,,Gloucester Fisheries,Schooner Alice M. Williams,,,,,,,,,,,0,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3ebbfc885-d07e-4e9a-8a54-c2b042671f01
USNM 4909,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3,,Alcohol (Ethanol),470,"Wheeler, F.",2/22/09,,North Atlantic Ocean,,,Canada,Nova Scotia,,,Banquereau Bank,,,,,Schooner Orient,,,,457.00,,,,,,,0,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/31ab6cc01-571f-4f3c-907c-d19c17d2285d
USNM 49512,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2046,United States Fish Commission,07/31/1883,Trawl - Beam,North Atlantic Ocean,,,United States,Massachusetts,,,"Nantucket Shoals, SE of",40.0469,-68.8167,,,Albatross R/V,,,,744.00,,,,USFC/A2046,,,0,,,,,,,,10/28/18 18:27,http://n2t.net/ark:/65665/3c3bedb48-34a6-4ba4-9670-919f4f53e1e8
USNM 49598,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 Fragment(s),,Alcohol (Ethanol),863,,09/03/1880,Dredge - Rake,North Atlantic Ocean,,,United States,Massachusetts,,,"Vineyard Sound, Off Cuttyhunk Light",,,,,Fish Hawk R/V,,,,33.00,,,,,,,0,,,,,,,,1/27/21 20:26,http://n2t.net/ark:/65665/39cc634a9-83be-4d5f-bc7d-ea948543c9c8
USNM 52322,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,133,"Goodwin, T.",2/20/09,,North Atlantic Ocean,,,Canada,Nova Scotia,,,Western Bank,,,,,Schooner Elisha Crowell,,,,548.60,,,,USFC/GL133,,,17322,,,,,,,,7/19/17 19:07,http://n2t.net/ark:/65665/369e452a2-d131-4bcf-896d-54c813ba11b9
USNM 55837,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,4,,Alcohol (Ethanol),101,,9/21/79,,North Atlantic Ocean,,,United States,Virginia,,,"Norfolk Canyon, Off Virginia Beach",34.0233,-74.57,,USNOO,Gilliss R/V,75-08,,,750.00,,,,,,,318454,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/38a994747-efb5-4a3c-9ad9-2f3947d3e13e
USNM 55838,Specimen/Lot,"Acanthogorgia armata Verrill, 1878",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Acanthogorgia armata Verrill, 1878 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2 ca.,,Alcohol (Ethanol),27,,9/13/79,,North Atlantic Ocean,,,United States,Virginia,,,"Norfolk Canyon, Off Virginia Beach",37.165,-74.4133,,USNOO,Gilliss R/V,75-08,,,1380.00,,,,,,,318454,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/38d995b2d-005f-44fa-8349-d03026718a81
