Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 56191,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),35-23,,4/6/72,,North Pacific Ocean,,,United States,Hawaii,,,"Maui Island, north of",21.26,-156.425,,Sango Expedition,Townsend Cromwell R/V,35,,,110.00,,,,,,,0,,,,,,,,7/20/20 15:58,http://n2t.net/ark:/65665/3301b2cfa-aab6-4fba-8e53-e9d5b0f4e93b
USNM 56192,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),40-56,National Marine Fisheries Service,11/19/72,Trawl - Shrimp,North Pacific Ocean,,,United States,Hawaii,,,"Molokai Island, Pailolo Channel",21.0383,-156.74,,Sango Expedition,Townsend Cromwell R/V,40,,,238.00,,,,,,,324686,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/32ab7c9d0-d4f1-4fe8-9291-50f36aaf7005
USNM 56610,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2072,United States Fish Commission,09/021883,Trawl - Beam,North Atlantic Ocean,,,United States,Massachusetts,,,Georges Bank,41.8833,-65.5833,,,Albatross R/V,,,,1569.00,,,,USFC/A2072,,,0,,,,,,,,10/28/18 21:17,http://n2t.net/ark:/65665/3574f895d-91c9-4c36-a7df-06b55704e906
USNM 57115,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3,,Alcohol (Ethanol),2818,United States Fish Commission,04/15/1888,Trawl - Large Beam,South Pacific Ocean,,,Ecuador,Galapagos Islands,,,Between Santa Cruz and San Cristobal Islands,-0.4833,-89.9083,,,Albatross R/V,,,,717.00,,,,USFC/A2818,,,0,,,,,,,,10/21/18 20:37,http://n2t.net/ark:/65665/385f6d702-1dee-4b14-bb3a-09d8d4c95e26
USNM 57304,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),954,,7/19/73,,North Atlantic Ocean,Caribbean Sea,,St. Kitts and Nevis,,,,"Nevis, South Of",16.9167,-62.7167,,,Pillsbury R/V,6907,,,1125.00,,,,,,,322031,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/302058d46-2191-4599-82ee-fccac2844092
USNM 57305,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2461,National Marine Fisheries Service,9/16/69,,North Atlantic Ocean,,,United States,Florida,,,Blake Plateau,28.24,-79.5083,,,Gosnold R/V,74,,,850.00,,,,,,,328808,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3de482b61-8413-4b80-b348-f5c95528408f
USNM 57502,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),9,"Pratt, R. M.; Woods Hole Oceanographic Institution",6/18/66,,North Atlantic Ocean,,,Canada,,,,SE Of Nova Scotia,38.8692,-60.4917,,,Atlantis II R/V,280,,,1902.00,,,,,,,0,,,,,,,,8/8/21 20:31,http://n2t.net/ark:/65665/350f2fb2b-eaea-4181-b716-8b4a2e917506
USNM 57503,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3,,Alcohol (Ethanol),3707,United States Fish Commission,5/9/04,"Trawl - Tanner Beam, 8 ft",North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Ose Zaki",35.0299,138.789,,,Albatross R/V,,,,,"Multiple depths recorded: 63, 70, 75",,,USFC/A3707,,,0,,,,,,,,4/22/19 15:28,http://n2t.net/ark:/65665/3326ff498-b402-483d-9282-9e9d6a511d06
USNM 57504,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3,,Alcohol (Ethanol),3716,United States Fish Commission,5/12/04,"Trawl - Tanner Beam, 8 ft",North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Ose Zaki",,,,,Albatross R/V,,,,229.00,,,,USFC/A3716,,,0,,,,,,,,4/22/19 17:19,http://n2t.net/ark:/65665/35177a7ba-bb0d-4170-adef-3b4e2b3a8df2
USNM 57505,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3716,United States Fish Commission,5/12/04,"Trawl - Tanner Beam, 8 ft",North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Ose Zaki",,,,,Albatross R/V,,,,229.00,,,,USFC/A3716,,,0,,,,,,,,4/22/19 17:19,http://n2t.net/ark:/65665/358e8e317-4671-43af-a1a5-f8cc7ec4a958
USNM 57506,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3729,United States Fish Commission,5/17/04,"Trawl - Tanner Beam, 8 ft",North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Omae Zaki",34.8712,138.267,,,Albatross R/V,,,,62.00,,,,USFC/A3729,,,0,,,,,,,,4/22/19 18:04,http://n2t.net/ark:/65665/32867cbf7-04d6-4a86-8ed5-f399e272517f
USNM 57507,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3746,United States Fish Commission,5/20/04,Tangles,North Pacific Ocean,,,Japan,Chiba,,,"Honshu Island, Sagami Bay, Suno Saki",,,,,Albatross R/V,,,,90.00,,,,USFC/A3746,,,0,,,,,,,,4/23/19 19:47,http://n2t.net/ark:/65665/31b1dd4fc-9314-4697-9d47-350a5b46988c
USNM 57508,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3752,United States Fish Commission,5/20/04,Tangles,North Pacific Ocean,,,Japan,Chiba,,,"Honshu Island, Sagami Bay, Suno Saki",,,,,Albatross R/V,,,,100.00,,,,USFC/A3752,,,0,,,,,,,,4/23/19 18:11,http://n2t.net/ark:/65665/3a1c318ff-5764-4beb-ad09-8857a85dfec5
USNM 59106,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Oct-83,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),2987,United States Fish Commission,02/28/1889,Trawl - Small Beam,North Pacific Ocean,,,Mexico,Baja California,,,Guadalupe Island,28.9042,-118.3,,,Albatross R/V,,,,313.00,,,,USFC/A2987,,,0,,,,,,,,2/3/19 16:59,http://n2t.net/ark:/65665/3b821594f-3eba-4fd5-8097-72fcfe30eec0
USNM 59832,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,6,,Alcohol (Ethanol),371F,,8/19/68,,Indian Ocean,,,Mozambique,,,,"Quissico, 40 Mile E",-24.77,35.3,,IIOE - International Indian Ocean Expedition - International Indian Ocean Expedition,Anton Bruun R/V,7,,,110.00,,,,,,,0,,,,,,,,12/16/19 22:02,http://n2t.net/ark:/65665/3e0d3fec0-2c8c-4aef-9f7d-1994dcaeae30
USNM 60367,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",1987,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),NOT REC.,United States Fish Commission,,,North Pacific Ocean,,,Philippines,,,,Locality Unknown,,,,Philippines Expedition,Albatross R/V,,,,,,,,,,,0,,,,,,,,11/11/19 20:52,http://n2t.net/ark:/65665/3521295f6-57d6-43fd-ba1b-df8903228e1d
USNM 60486,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",1-Apr-86,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5151,United States Fish Commission,2/19/12,"Trawl - Agassiz beam, 12 ft, with mud bag",North Pacific Ocean,,,Philippines,Sulu,,,"Tapul Group, Sugbai Passage, Sugbai Island, SE of",5.4111,120.454,,Philippines Expedition,Albatross R/V,,,,44.00,,,,USFC/A5151,,,67302,,,,,,,,7/18/19 20:25,http://n2t.net/ark:/65665/3d87a600a-a3ad-47d5-b397-16cb105c8a08
USNM 73945,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),2785,United States Fish Commission,02/08/1888,Trawl - Large Beam,South Pacific Ocean,,,Chile,Aisen del General Carlos Ibanez del Campo,,,"Mesier Canal, Serrano Island, East of",-48.15,-74.6,,,Albatross R/V,,,,821.00,,,,USFC/A2785,,Original Number : 1180 - F.C.,0,,,,,,,,1/22/19 16:04,http://n2t.net/ark:/65665/349e0f759-5679-4d42-bdc2-0dfab503b560
USNM 75417,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1466,"Bolland, R. F.",5/25/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,66.00,,,,BOLLAND/RFB 1466,,Original Number : OK0821RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3b7f54d28-ddc1-4d42-979c-f5205efd92b0
USNM 75422,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1458,"Bolland, R. F.",5/10/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,64.00,,,,BOLLAND/RFB 1458,,Original Number : OK0824RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/36b73c58a-06c8-43d3-aab5-0f0c74936961
USNM 75513,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1479,"Bolland, R. F.",6/25/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,46.00,,,,BOLLAND/RFB 1479,,Original Number : OK0926RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3c6d40c63-17ec-473c-bc2d-74dcf8713075
USNM 75581,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,Ts,5/7/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.72,127.75,,,,,,,330.00,,,,,,Original Number : OK0251TS,350091,,,,,,,,5/11/20 17:33,http://n2t.net/ark:/65665/389086f99-f15e-438a-8b16-9d467b9eb874
USNM 76004,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/3/86,,North Pacific Ocean,,,Japan,,,,"Miyako, Sunbanji",24.82,125.42,,,,,,,35.00,,,,,,Original Number : OK0382KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3b06d8760-0c1e-4aab-bc2e-6857e8854dfb
USNM 76005,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/3/86,,North Pacific Ocean,,,Japan,,,,"Miyako, Sunbanji",24.82,125.42,,,,,,,29.00,,,,,,Original Number : OK0383KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3e31f4cf4-f4fd-4e7d-a999-976c032ee809
USNM 76006,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/3/86,,North Pacific Ocean,,,Japan,,,,"Miyako, Sunbanji",24.82,125.42,,,,,,,34.00,,,,,,Original Number : OK0384KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3ebaac801-7417-4b79-be17-ff4e10c72ef6
USNM 76011,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/3/86,,North Pacific Ocean,,,Japan,,,,"Miyako, Sunbanji",24.82,125.42,,,,,,,34.00,,,,,,Original Number : OK0388KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/367928501-7a27-49bf-9e6c-a4d377170744
USNM 77519,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",11/14/86,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Chichi Jima, Miyanohama",27.1,142.2,,,,,,,24.00,,,,,,Original Number : OG0004KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/368b3b1ae-e96b-464a-9321-108f866a3388
USNM 79622,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Chesher, R.",7/10/88,,South Pacific Ocean,,,Tonga,,,,"Tongatapu, Piha Passage, N Edge",-21.105,-175.12,,,,,,,30.00,,,,,,,363129,,,,,,,,10/18/18 22:01,http://n2t.net/ark:/65665/3c9253054-4b9c-414e-9aab-24edeb0c5d53
USNM 79629,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,5255,United States Fish Commission,5/19/12,"Trawl - Agassiz beam, 12 ft, with mud bag",North Pacific Ocean,Gulf of Davao,,Philippines,Davao,,,"Mindanao Island, Dumalag Island, 4.5 Miles NE of",7.05,125.65,,Philippines Expedition,Albatross R/V,,,,183.00,,,,USFC/A5255,,,67302,,,,,,,,7/24/19 15:26,http://n2t.net/ark:/65665/32e5586f9-5412-41c6-9f1f-42eaaf1436fc
USNM 79980,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Aug-91,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Chesher, R.",7/10/88,,South Pacific Ocean,,,Tonga,,,,"Tongatapu, Piha Passage, N Edge",-21.105,-175.12,,,,,,,30.00,,,,,,,363129,,,,,,,,10/21/18 12:19,http://n2t.net/ark:/65665/3967b7230-8759-43f8-b3cb-4b080cff422c
USNM 82129,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",12-May-92,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,USAP project; Sub Antarctic collection,1,,Alcohol (Ethanol),130,Smithsonian Oceanographic Sorting Center,2/26/80,Trawl - Blake,South Atlantic Ocean,Scotia Sea,,,,,,"Scotia Ridge, west of South Sandwich Islands",-59.885,-32.325,,USAP,Islas Orcadas R/V,876,,,671.00,,,,USARP/IS/876/130/SOSC,,,372336,,,,,,,,10/21/18 12:32,http://n2t.net/ark:/65665/31a7c33db-3ade-494b-87af-a28466718237
USNM 89375,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",1991,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),1932,,11/25/90,Submersible,South Pacific Ocean,,,Ecuador,Galapagos Islands,,,"Isabela Island, Off Caleta Black",-0.2519,-91.4611,,,Johnson Sea Link I DSR/V,,,,315.00,,,,,,,374983,,,,,,,,7/27/18 6:04,http://n2t.net/ark:/65665/3020904f6-5f63-47c3-b94a-1945a9962dff
USNM 92402,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1281,"Bolland, R. F.",10/16/88,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,46.00,,,,BOLLAND/RFB 1281,,,395425,,,,,,,,10/21/18 13:31,http://n2t.net/ark:/65665/3a3275c99-86f9-4802-9c6f-a7b0621ec172
USNM 92405,Specimen/Lot,Acanthogorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acanthogorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),RFB 1281,"Bolland, R. F.",10/16/88,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,46.00,,,,BOLLAND/RFB 1281,,,395425,,,,,,,,7/27/18 6:04,http://n2t.net/ark:/65665/3ecdbeb17-0e78-402f-9b8e-d772b08009cb
