¥éËCatalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 49827,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5131,United States Fish Commission,2/7/12,"Trawl - Tanner Beam, 9 ft, with Mud Bag",North Pacific Ocean,Sulu Sea,,Philippines,Zamboanga del Norte,,,"Mindanao Island, Panabutan Point",7.6833,122.017,,Philippines Expedition,Albatross R/V,,,,49.00,,,,USFC/A5131,,,0,,,,,,,,7/18/19 19:42,http://n2t.net/ark:/65665/301fc7730-322e-440b-864d-e3891e453cf9
USNM 49883,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5249,United States Fish Commission,5/19/12,"Dredge - Johnston oyster, 6 ft",North Pacific Ocean,Gulf of Davao,,Philippines,Davao,,,"Mindanao Island, Davao City",7.1017,125.669,,Philippines Expedition,Albatross R/V,,,,42.00,,,,USFC/A5249,,,0,,,,,,,,7/24/19 13:44,http://n2t.net/ark:/65665/38453b308-1742-4269-a1f9-d135984f5e1a
USNM 49934,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5414,United States Fish Commission,3/25/13,"Trawl - McCormick, 6 ft",North Pacific Ocean,,,Philippines,Bohol,,,"Bohol Island, Jeta Fe, Bohol Strait",10.1778,124.046,,Philippines Expedition,Albatross R/V,,,,,,,,USFC/A5414,,,0,,,,,,,,8/6/19 19:01,http://n2t.net/ark:/65665/3658fc1f5-5dfc-4ed7-9f26-2fc472c4546c
USNM 49939,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5152,United States Fish Commission,2/19/12,"Trawl - Agassiz beam, 12 ft, with mud bag",North Pacific Ocean,,,Philippines,"Sulu Archipelago, Tawitawi Group",,,"Tawitawi Island, Tabolongan Island",5.3819,120.263,,Philippines Expedition,Albatross R/V,,,,62.00,,,,USFC/A5152,,,0,,,,,,,,10/16/19 20:56,http://n2t.net/ark:/65665/3c2b8fe63-d866-4b5e-bc89-ea7b0fdd1eed
USNM 49962,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5554,United States Fish Commission,9/19/13,"Trawl - McCormick, 6 ft",North Pacific Ocean,,,Philippines,Sulu,,,"Sulu Archipelago, Jolo Island, Parang",5.8742,120.872,,Philippines Expedition,Albatross R/V,,,,46.00,,,,USFC/A5554,,,0,,,,,,,,8/5/19 13:50,http://n2t.net/ark:/65665/3f3ab552f-0276-4a82-ada8-c2396f2a7f7b
USNM 52315,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Williams, E. H.",7/11/89,,North Pacific Ocean,,,Japan,Okinawa,,,"Okinawa Island, off Yonabaru-cho",26.18,127.77,,,,,,,,,,,,,,0,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/3ee74bebf-2502-4d81-bc3a-74bfeb610dd4
USNM 54563,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,100,,Alcohol (Ethanol),1723C,"Moore, J. G.",10/18/66,,North Pacific Ocean,,,United States,Hawaii,,,"Hawaii Island, South Of",18.5517,-155.435,,,,,,,1922.00,,,,,,,323389,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/32bf49980-9026-4336-8a0d-f208b0d97394
USNM 57499,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5248,United States Fish Commission,5/19/12,"Dredge - Johnston oyster, 6 ft",North Pacific Ocean,Gulf of Davao,,Philippines,Davao,,,"Mindanao Island, Davao City",7.1236,125.673,,Philippines Expedition,Albatross R/V,,,,33.00,,,,USFC/A5248,,,0,,,,,,,,7/24/19 13:42,http://n2t.net/ark:/65665/368f2f794-ece1-4a23-9278-fa1dbd017db7
USNM 57500,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),5401,United States Fish Commission,3/17/13,"Trawl - McCormick, 6 ft",North Pacific Ocean,Visayan Sea,,Philippines,Cebu,,,"Malapascua Island, off North coast Cebu Island",11.4125,124.1,,Philippines Expedition,Albatross R/V,,,,55.00,,,,USFC/A5401,,,0,,,,,,,,8/6/19 18:16,http://n2t.net/ark:/65665/38a3bd266-0d51-45d8-a470-9990b8a717eb
USNM 58450,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Faulkner, D. J.",9/23/75,Scuba Gear,North Pacific Ocean,,,Palau,,,,"Ngargol Island, Peduliaes Point",7.33,134.42,,,,,,,,,,,,,,334826,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/37dd17af4-527c-424e-8437-41a15158a08b
USNM 58452,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Faulkner, D. J.",6/28/77,Scuba Gear,North Pacific Ocean,,,Palau,,,,"Ngemelis Island, The Great Reef",7.1,134.23,,,,,,,17.00,,,,,,,334826,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/3664a4dd7-56a4-4f29-b947-b25edd5b7ae2
USNM 58453,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Faulkner, D. J.",6/13/77,Scuba Gear,North Pacific Ocean,,,Palau,,,,"Ngargol Island, Peduliaes Point",7.33,134.42,,,,,,,,,,,,,,334826,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/37e2791c8-fc85-4501-ba6d-baf974297cae
USNM 58495,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Faulkner, D. J.",10/21/75,,North Pacific Ocean,,,Palau,,,,"Ngemelis Island, The Great Reef",7.1,134.23,,,,,,,8.00,,,,,,,334826,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/3397c798f-34c1-405d-b50d-e97a0655cad2
USNM 58940,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Scott, T. J.",6/2/09,,North Pacific Ocean,,,China,,,,"Hong Kong, Cape D'Aguilar",,,,,,,,,20.00,,,,,,specimen number : 3,336337,,,,,,,,3/12/17 21:01,http://n2t.net/ark:/65665/323a0506f-e2e1-46ca-b9be-e28782cd56d5
USNM 59137,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Utinomi, H.",9/2/46,,North Pacific Ocean,,,Japan,,,,"Honshu Island, Izu Islands, Toshima Island",,,,,,,,,,,,,,,,200676,,,,,,,,1/15/17 18:10,http://n2t.net/ark:/65665/3d1deda40-bb3e-4781-8056-eebd2a521627
USNM 75317,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",6/25/88,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Bise",26.7014,127.875,,,,,,,27.00,,,,,,Original Number : OK0697KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3dff87cbf-5bb8-4413-8021-3e7ece074f08
USNM 75332,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/11/88,,North Pacific Ocean,,,Japan,,,,"Miyako, Shimoji, 333",24.8383,125.13,,,,,,,30.00,,,,,,Original Number : OK0719KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3dc1db7ea-ea2d-40c9-a79b-c19f2179c3d1
USNM 75333,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/11/88,,North Pacific Ocean,,,Japan,,,,"Miyako, Shimoji, 333",24.8433,125.13,,,,,,,30.00,,,,,,Original Number : OK0720KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/386427d99-5e49-4bc4-b567-b1bcea509448
USNM 75334,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/11/88,,North Pacific Ocean,,,Japan,,,,"Miyako, Shimoji, 333",24.8383,125.13,,,,,,,30.00,,,,,,Original Number : OK0721KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/33a9f223c-0bff-40d1-939c-e813f8f38e8f
USNM 75342,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/11/88,,North Pacific Ocean,,,Japan,,,,"Miyako, Tori Ike",24.82,125.13,,,,,,,24.00,,,,,,Original Number : OK0729KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/317786a6d-fd58-4d68-bf1b-2fe58786b0a2
