´ŽèCatalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 57517,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),3716,United States Fish Commission,5/12/04,"Trawl - Tanner Beam, 8 ft",North Pacific Ocean,,,Japan,Shizuoka,,,"Honshu Island, Suruga Bay, Ose Zaki",,,,,Albatross R/V,,,,229.00,,,,USFC/A3716,,,0,,,,,,,,4/22/19 17:19,http://n2t.net/ark:/65665/3c7182f99-c69f-4769-ba9b-80de96f78ac7
USNM 58942,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Scott, T. J.",6/2/09,,North Pacific Ocean,,,China,,,,"Hong Kong, Po Toi Island",,,,,,,,,25.00,,,,,,specimen number : 4,336337,,,,,,,,3/12/17 20:54,http://n2t.net/ark:/65665/3f42e3406-e46a-4cc6-8998-6f3764e437d9
USNM 58947,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Scott, T. J.",6/2/09,,North Pacific Ocean,,,China,Hong Kong,,,Soko Islands,,,,,,,,,10.00,,,,,,specimen number : 16,336337,,,,,,,,3/12/17 20:54,http://n2t.net/ark:/65665/33391c51b-69fd-4a07-a39b-6b68cbf33266
USNM 59135,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Utinomi, H.",11/11/56,,North Pacific Ocean,,,Japan,Wakayama,,,"Honshu Island, Tanabe Bay",,,,,,,,,,,,,,,,200676,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/36bdf316c-518d-43dc-a816-46e373fab66a
USNM 59136,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Utinomi, H.",3/2/54,,North Pacific Ocean,,,Japan,Wakayama,,,"Honshu Island, Tanabe Bay",,,,,,,,,,,,,,,,200676,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/3a41c499b-c12d-49c4-b281-bd2796672c63
USNM 75425,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1458,"Bolland, R. F.",5/10/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,64.00,,,,BOLLAND/RFB 1458,,Original Number : OK0826RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3dd0432d1-e3e2-4f08-97c8-740ea69d78c1
USNM 75431,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1440,"Bolland, R. F.",4/22/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Bolo Point, 200 M West of Zampa-Misaki",26.435,127.713,,,,,,,49.00,,,,BOLLAND/RFB 1440,,Original Number : OK0832RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3ff464820-49ea-48cb-a091-e5088e0ed5ab
USNM 75432,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1474,"Bolland, R. F.",6/21/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,49.00,,,,BOLLAND/RFB 1474,,Original Number : OK0835RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/34dfa619a-1a21-4056-b32f-f4aaf8be1e1a
USNM 75440,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),RFB 1477,"Bolland, R. F.",6/23/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Seragaki Beach, 1.3 Km ENE of Maeki-Zaki",26.5067,127.877,,,,,,,49.00,,,,BOLLAND/RFB 1477,,Original Number : OK0843RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3f017529d-06d9-480f-b46b-f8e7f2659687
USNM 75527,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",7/17/89,,North Pacific Ocean,,,Japan,,,,"Iriomote, Sakiyama",24.3167,123.675,,,,,,,27.00,,,,,,Original Number : OK0952KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/39606fd95-c3f8-49fd-b494-2f30cbce4d52
USNM 75579,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Muzik, K.",8/10/89,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Bise",26.7083,127.875,,,,,,,36.00,,,,,,Original Number : OK1012KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/345d3cfa8-f412-41e5-8d19-3f410258b863
USNM 75733,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/6/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.73,127.75,,,,,,,30.00,,,,,,Original Number : OK0021KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3bef611ff-83c0-47ed-b04c-e45ef8e2fb0a
USNM 75806,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/19/85,,North Pacific Ocean,,,Japan,,,,"Izena, Yosa Iwa",26.9,127.9,,,,,,,35.00,,,,,,Original Number : OK0132KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/394ab4a1b-b0f4-4e71-b406-09dcd2787331
USNM 75878,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",11/24/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Oku",26.85,128.28,,,,,,,22.00,,,,,,Original Number : OK0214KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/341424fdf-da54-49c1-98d4-5c987f6406f6
USNM 75885,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,RFB 0963,"Bolland, R. F.",11/13/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,73.00,,,,BOLLAND/RFB 0963,,Original Number : OK0224RB,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3d80ede17-783b-411a-9419-9b923341ab58
USNM 76113,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",1/1/87,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.7,127.83,,,,,,,22.00,,,,,,Original Number : OK0501KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3d58e9561-f59d-4140-9ee3-aed04a52a483
USNM 76124,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",1/1/87,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.7,127.83,,,,,,,24.00,,,,,,Original Number : OK0512KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3815ed091-f71c-48e0-a0be-4ba006acf7fd
USNM 76166,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",5/4/87,,North Pacific Ocean,,,Japan,,,,"Kerama, Sakubaru",26.18,127.28,,,,,,,20.00,,,,,,Original Number : OK0559KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/31acc88ec-3dfd-4557-84dc-674945df5cfd
USNM 76255,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",1/3/88,,North Pacific Ocean,,,Japan,,,,"Kerama, Sakubaru",26.18,127.28,,,,,,,20.00,,,,,,Original Number : OK0664KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/30d27977f-e457-4ed8-8c43-adaac917ace4
USNM 77283,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Alcohol (Ethanol),C530,,9/20/64,,South Pacific Ocean,,,New Zealand,,,,Kermadec Islands,-30.63,-178.52,,Leeward Cruise,Viti R/V,,,,219.00,,,,,,,248551,,,,,,,,10/18/18 21:36,http://n2t.net/ark:/65665/3ddcedc47-a9a1-405d-8b82-35a64c707bb8
USNM 77583,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",11/21/86,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Aniseto, Tamanohama",26.1033,142.208,,,,,,,34.00,,,,,,Original Number : OG0076KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3d330baea-1b5b-42bd-981c-47bf9f75c3a1
USNM 77592,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",11/22/86,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Ototojima, Komori",27.175,142.18,,,,,,,25.00,,,,,,Original Number : OG0085KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3dca3dc71-f13d-46f3-8676-efaf87df29f6
USNM 77598,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",11/22/86,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Ototojima, Komori",27.175,142.18,,,,,,,35.00,,,,,,Original Number : OG0091KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/32600f972-9bdd-4f0b-a2f4-600e1fd97ac8
USNM 77602,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",11/22/86,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Ototojima, Komori",27.175,142.18,,,,,,,,,,,,,Original Number : OG0095KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3f1192059-ad97-4308-a81c-f6fe7b0eea68
USNM 77633,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",11/8/86,,North Pacific Ocean,,,Japan,,,,"Honshu Island, Izu",34.83,139.08,,,,,,,40.00,,,,,,Original Number : JP0107KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3411aa143-5195-41f4-a877-ced0f6365645
USNM 77646,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",5/31/85,,North Pacific Ocean,,,Philippines,Batangas,,,"Luzon Island, Cathedral Rock",,,,,,,,,23.00,,,,,,Original Number : PH0041KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/39171c018-a736-4dd9-8b09-9f30ae348dd8
USNM 79406,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5401,United States Fish Commission,3/17/13,"Trawl - McCormick, 6 ft",North Pacific Ocean,Visayan Sea,,Philippines,Cebu,,,"Malapascua Island, off North coast Cebu Island",11.4125,124.1,,Philippines Expedition,Albatross R/V,,,,55.00,,,,USFC/A5401,,,67302,,,,,,,,8/6/19 18:16,http://n2t.net/ark:/65665/3fbf1c754-629b-4d63-9784-4cb209b91b7c
USNM 87572,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Jun-94,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 1134,"Bolland, R. F.",4/17/88,Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,52.00,,,,BOLLAND/RFB 1134,,,381691,,,,,,,,10/21/18 13:02,http://n2t.net/ark:/65665/359a5cce9-7994-4212-a60a-c207a90cabdc
USNM 87586,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Jun-94,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,RFB 1129,"Bolland, R. F.",3/26/88,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,61.00,,,,BOLLAND/RFB 1129,,,381691,,,,,,,,10/21/18 13:03,http://n2t.net/ark:/65665/3b91c2a7b-d193-4cd9-81f3-57f5c2e020af
USNM 92067,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,"Messing, C. G.",7/15/95,,South Pacific Ocean,Bismarck Sea,,Papua New Guinea,,,,"Madang, Barrier Reef Off Cristensen Research Inst.",,,,,,,,,30.00,,,,,,,401503,,,,,,,,10/21/18 13:29,http://n2t.net/ark:/65665/38f00342f-a590-4455-af07-0a5cdb57c731
USNM 94568,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),371F,,8/19/68,,Indian Ocean,,,Mozambique,,,,"Quissico, 40 Mile E",-24.77,35.3,,IIOE - International Indian Ocean Expedition - International Indian Ocean Expedition,Anton Bruun R/V,7,,,110.00,,,,,,,0,,,,,,,,12/16/19 22:02,http://n2t.net/ark:/65665/3c623703d-1656-48ab-aef6-f6b06860344d
USNM 1010523,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,DRY,HGP 6,,4/14/82,,South Pacific Ocean,Coral Sea,,New Caledonia,,,,,,,,,,,,,190.00,,,,Drague #13,,,340617,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/3765b5a55-97e2-48bb-8065-e4f5d204c7cb
USNM 1010525,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,DRY,HGP 19,,5/19/83,,South Pacific Ocean,Coral Sea,,New Caledonia,,,,Chesterfield Islands,-19.67,158.451,,,,,,,250.00,,,,Chalutage #2,,,340617,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/38646549c-e9a3-4cb1-b1b1-5b28c69bb830
USNM 1016236,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,,,,South Pacific Ocean,,,New Caledonia,,,,,,,,,,,,,20.00,,,,,,,401987,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/3324f5753-8888-4113-968b-e97969e97914
USNM 1016237,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,11,,,,North Pacific Ocean,,,Philippines ?,,,,,,,,,,,,,,,,,,,,401987,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/3adc3fcc5-b67e-4c9e-8789-34777bf40f02
USNM 1016238,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Dry,10,,,,Indian Ocean,Laccadive Sea,,Maldives,,,,,,,,,,,,,20.00,,,,,,,401987,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/305637fd4-e925-467a-9d48-c2580aaf0c4a
USNM 1016532,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",1986,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Goldberg, W.",2/9/90,,South Pacific Ocean,,,New Zealand,,,,"Doubtful Sound, Passage between Bonza Island and Secretary Island",,,,,,,,,24.00,,,,,,,371087,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/315907bb0-283f-45bb-b4ab-82dded5d57c4
USNM 1076885,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",16-Oct-85,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),18,,3/22/67,,Indian Ocean,Andaman Sea,,Thailand,,,,"Phuket Island, West Of",7.57,98,,IIOE,Te Vega R/V,1,,,77.00,,,,,,,260812,,,,,,,,1/15/17 18:14,http://n2t.net/ark:/65665/33f2b887f-1578-45f3-abff-eac79e70a13c
