Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 52315,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Williams, E. H.",10-Jul-85,,North Pacific Ocean,,,Japan,Okinawa,,,"Okinawa Island, off Yonabaru-cho",26.18,127.77,,,,,,,,,,,,,,0,,,,,,,,1/14/13 18:10,http://n2t.net/ark:/65665/3ee74bebf-2502-4d81-bc3a-74bfeb610dd4
USNM 54563,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,100,,Alcohol (Ethanol),1723C,"Moore, J. G.",17-Oct-62,,North Pacific Ocean,,,United States,Hawaii,,,"Hawaii Island, South Of",18.5517,-155.435,,,,,,,1922,,,,,,,323389,,,,,,,,5/10/16 17:32,http://n2t.net/ark:/65665/32bf49980-9026-4336-8a0d-f208b0d97394
USNM 57499,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5248,United States Fish Commission,18-May-08,"Dredge - Johnston oyster, 6 ft",North Pacific Ocean,Gulf of Davao,,Philippines,Davao,,,"Mindanao Island, Davao City",7.1236,125.673,,Philippines Expedition,Albatross R/V,,,,33,,,,USFC/A5248,,,0,,,,,,,,7/23/15 13:42,http://n2t.net/ark:/65665/368f2f794-ece1-4a23-9278-fa1dbd017db7
USNM 57500,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),5401,United States Fish Commission,16-Mar-09,"Trawl - McCormick, 6 ft",North Pacific Ocean,Visayan Sea,,Philippines,Cebu,,,"Malapascua Island, off North coast Cebu Island",11.4125,124.1,,Philippines Expedition,Albatross R/V,,,,55,,,,USFC/A5401,,,0,,,,,,,,8/5/15 18:16,http://n2t.net/ark:/65665/38a3bd266-0d51-45d8-a470-9990b8a717eb
USNM 58450,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Faulkner, D. J.",22-Sep-71,Scuba Gear,North Pacific Ocean,,,Palau,,,,"Ngargol Island, Peduliaes Point",7.33,134.42,,,,,,,,,,,,,,334826,,,,,,,,1/14/13 18:10,http://n2t.net/ark:/65665/37dd17af4-527c-424e-8437-41a15158a08b
USNM 58452,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Faulkner, D. J.",27-Jun-73,Scuba Gear,North Pacific Ocean,,,Palau,,,,"Ngemelis Island, The Great Reef",7.1,134.23,,,,,,,17,,,,,,,334826,,,,,,,,1/14/13 18:10,http://n2t.net/ark:/65665/3664a4dd7-56a4-4f29-b947-b25edd5b7ae2
USNM 58453,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Faulkner, D. J.",12-Jun-73,Scuba Gear,North Pacific Ocean,,,Palau,,,,"Ngargol Island, Peduliaes Point",7.33,134.42,,,,,,,,,,,,,,334826,,,,,,,,1/14/13 18:10,http://n2t.net/ark:/65665/37e2791c8-fc85-4501-ba6d-baf974297cae
USNM 58495,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Faulkner, D. J.",20-Oct-71,,North Pacific Ocean,,,Palau,,,,"Ngemelis Island, The Great Reef",7.1,134.23,,,,,,,8,,,,,,,334826,,,,,,,,1/14/13 18:10,http://n2t.net/ark:/65665/3397c798f-34c1-405d-b50d-e97a0655cad2
USNM 58940,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"Scott, T. J.",1979,,North Pacific Ocean,,,China,,,,"Hong Kong, Cape D'Aguilar",,,,,,,,,15 to 20,,,,,,specimen number : 3,336337,,,,,,,,3/11/13 21:01,http://n2t.net/ark:/65665/323a0506f-e2e1-46ca-b9be-e28782cd56d5
USNM 59137,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Utinomi, H.",Sep-42,,North Pacific Ocean,,,Japan,,,,"Honshu Island, Izu Islands, Toshima Island",,,,,,,,,,,,,,,,200676,,,,,,,,1/14/13 18:10,http://n2t.net/ark:/65665/3d1deda40-bb3e-4781-8056-eebd2a521627
