ï»¿Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 100735,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),haul 161,,19-Jul-98,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Delarof Islands, Amatignak Island",51,-179,,,Pacific Knight R/V,941,,,,,,,,,,412888,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/35f57bd0a-3cf7-4dd2-92f8-dac52879aa7e
USNM 100777,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),haul 52,,18-Aug-90,Trawl - Noreast,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Rat Islands, Amchitka Island",51.23,179.2,,,,861,,,,,,,,,,395425,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/31375c9f4-c816-4c79-8aa9-8616390134d8
USNM 100805,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),84,,13-Jul-88,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Andreanof Islands, Seguam Island",52.6,-172.33,,,Starlight R/V,84-1,,,,,,,,,,412888,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3e6af8746-9580-4a76-845b-eb996411c518
USNM 100806,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),haul 161,,19-Jul-98,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Delarof Islands, Amatignak Island",51,-179,,,Pacific Knight R/V,941,,,,,,,,,,412888,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/362e3b6b1-d7df-489c-9a3b-11ed146a955d
USNM 100807,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),haul 161,,19-Jul-98,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Delarof Islands, Amatignak Island",51,-179,,,Pacific Knight R/V,941,,,,,,,,,,412888,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3708b61cc-e4c5-45dc-bb39-c44a87d42773
USNM 100809,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),haul 153,,12-Jul-98,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Rat Islands, Semisopochoi Island",52.17,-180,,Aleutian Islands Survey,Vesteraalen R/V,941,,,,,,,,,,412888,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3363709ef-77ad-41a8-8a0c-533d574c54d2
USNM 100815,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,0,,Dry,haul 184,,24-Jul-98,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Andreanof Islands, Kanaga Island",52,-177,,Aleutian Islands Survey,Vesteraalen R/V,941,,,,,,,,,,,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3304b6025-0288-4613-8b25-3383afbb03fd
USNM 100816,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,3,,Dry,haul 40,,13-Jun-98,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Fox Islands, Umnak Island",52.68,-170.82,,,Pacific Knight R/V,941,,,,,,,,,,412888,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/38a50e033-aa86-470a-b48b-1305e841810b
USNM 60278,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Cairns, Stephen D., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",6/2/21,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria","Calicigorgia spiculifera Broch, 1935",,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Chew, K. K.",2-Sep-72,,North Pacific Ocean,Bering Sea,,United States,Alaska,,,"Aleutian Islands, Rat Islands, Amchitka Pass, West Of Island",51.53,-179.25,,,,,,,289.00,,,,,,,0,,,,,,,,6/3/21 14:39,http://n2t.net/ark:/65665/3840b9973-14dd-48e2-a7b4-4e764172344e
USNM 75091,Specimen/Lot,"Calcigorgia spiculifera Broch, 1935",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",1/11/88,"Calcigorgia spiculifera Broch, 1935 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),,"McDaniel, N.",1983,,North Pacific Ocean,,,Canada,British Columbia,,,"Queen Charlotte Strait, Near N End Of Vancouver Island",50.87,-127.47,,,,,,,50.00,,,,,,,358060,,,,,,,,1/28/21 19:00,http://n2t.net/ark:/65665/362126fbe-6ffc-4291-9c60-78e63451e713
